LogSource,ClassificationType,ClassificationName
API - AWS CloudTrail,Audit/Access Granted,Access Granted
API - AWS CloudTrail,Audit/Access Revoked,Access Revoked
API - AWS CloudTrail,Audit/Access Success,Access Success
API - AWS CloudTrail,Audit/Account Created,Account Created
API - AWS CloudTrail,Audit/Account Deleted,Account Deleted
API - AWS CloudTrail,Audit/Account Modified,Account Modified
API - AWS CloudTrail,Audit/Authentication Success,Authentication Success
API - AWS CloudTrail,Audit/Configuration,Configuration
API - AWS CloudTrail,Audit/Other,Other Audit
API - AWS CloudTrail,Audit/Other Audit Success,Other Audit Success
API - AWS CloudTrail,Audit/Policy,Policy
API - AWS CloudTrail,Audit/Startup and Shutdown,Startup and Shutdown
API - AWS CloudTrail,Ops/Information,Information
API - AWS CloudTrail,Ops/Network Traffic,Network Traffic
API - AWS CloudWatch Alarm,Audit/Access Success,Access Success
API - AWS CloudWatch Alarm,Audit/Configuration,Configuration
API - AWS CloudWatch Alarm,Ops/Information,Information
API - AWS CloudWatch Alarm,Ops/Warning,Warning
API - AWS Config Event,Audit/Configuration,Configuration
API - AWS Config Event,Ops/Information,Information
API - AWS S3 Flat File,Ops/Information,Information
API - AWS S3 Server Access Event,Audit/Access Success,Access Success
API - AWS S3 Server Access Event,Ops/Information,Information
API - BeyondTrust Retina Vulnerability Management,Audit/Startup and Shutdown,Startup and Shutdown
API - BeyondTrust Retina Vulnerability Management,Security/Malware,Malware
API - BeyondTrust Retina Vulnerability Management,Security/Vulnerability,Vulnerability
API - Box Event,Audit/Access Failure,Access Failure
API - Box Event,Audit/Access Granted,Access Granted
API - Box Event,Audit/Access Success,Access Success
API - Box Event,Audit/Account Created,Account Created
API - Box Event,Audit/Account Deleted,Account Deleted
API - Box Event,Audit/Authentication Failure,Authentication Failure
API - Box Event,Audit/Authentication Success,Authentication Success
API - Box Event,Audit/Other Audit Success,Other Audit Success
API - Box Event,Ops/Information,Information
API - Cisco IDS/IPS,Audit/Access Failure,Access Failure
API - Cisco IDS/IPS,Audit/Access Granted,Access Granted
API - Cisco IDS/IPS,Audit/Access Revoked,Access Revoked
API - Cisco IDS/IPS,Audit/Access Success,Access Success
API - Cisco IDS/IPS,Audit/Account Modified,Account Modified
API - Cisco IDS/IPS,Audit/Authentication Failure,Authentication Failure
API - Cisco IDS/IPS,Audit/Authentication Success,Authentication Success
API - Cisco IDS/IPS,Audit/Configuration,Configuration
API - Cisco IDS/IPS,Audit/Other,Other Audit
API - Cisco IDS/IPS,Audit/Other Audit Failure,Other Audit Failure
API - Cisco IDS/IPS,Audit/Other Audit Success,Other Audit Success
API - Cisco IDS/IPS,Audit/Startup and Shutdown,Startup and Shutdown
API - Cisco IDS/IPS,Ops/Critical,Critical
API - Cisco IDS/IPS,Ops/Error,Error
API - Cisco IDS/IPS,Ops/Information,Information
API - Cisco IDS/IPS,Ops/Network Allow,Network Allow
API - Cisco IDS/IPS,Ops/Network Deny,Network Deny
API - Cisco IDS/IPS,Ops/Network Traffic,Network Traffic
API - Cisco IDS/IPS,Ops/Other,Other Operations
API - Cisco IDS/IPS,Ops/Warning,Warning
API - Cisco IDS/IPS,Security/Activity,Activity
API - Cisco IDS/IPS,Security/Attack,Attack
API - Cisco IDS/IPS,Security/Compromise,Compromise
API - Cisco IDS/IPS,Security/Denial of Service,Denial Of Service
API - Cisco IDS/IPS,Security/Failed Malware,Failed Malware
API - Cisco IDS/IPS,Security/Malware,Malware
API - Cisco IDS/IPS,Security/Misuse,Misuse
API - Cisco IDS/IPS,Security/Other,Other Security
API - Cisco IDS/IPS,Security/Reconnaissance,Reconnaissance
API - Cisco IDS/IPS,Security/Suspicious,Suspicious
API - Cisco IDS/IPS,Security/Vulnerability,Vulnerability
API - Cradlepoint ECM,Audit/Access Revoked,Access Revoked
API - Cradlepoint ECM,Audit/Authentication Failure,Authentication Failure
API - Cradlepoint ECM,Audit/Authentication Success,Authentication Success
API - Cradlepoint ECM,Audit/Configuration,Configuration
API - Cradlepoint ECM,Audit/Other Audit Failure,Other Audit Failure
API - Cradlepoint ECM,Audit/Other Audit Success,Other Audit Success
API - Cradlepoint ECM,Ops/Error,Error
API - Cradlepoint ECM,Ops/Information,Information
API - Cradlepoint ECM,Ops/Network Traffic,Network Traffic
API - Cradlepoint ECM,Ops/Warning,Warning
API - Cradlepoint ECM,Security/Attack,Attack
API - IP360 Vulnerability Scanner,Security/Other,Other Security
API - Metasploit Penetration Scanner,Security/Activity,Activity
API - Metasploit Penetration Scanner,Security/Compromise,Compromise
API - Metasploit Penetration Scanner,Security/Vulnerability,Vulnerability
API - Nessus Vulnerability Scanner,Security/Reconnaissance,Reconnaissance
API - Nessus Vulnerability Scanner,Security/Vulnerability,Vulnerability
